,X,name,genus,vore,order,conservation,Total.Sleep.Time,sleep_rem,awake,brainwt,bodywt
1,1,Cheetah,Acinonyx,1,Carnivora,4,12.1,1.875409836,11.9,0.281581429,50
2,2,Owl monkey,Aotus,4,Primates,4,17,1.8,7,0.0155,0.48
3,3,Mountain beaver,Aplodontia,2,Rodentia,5,14.4,2.4,9.6,0.281581429,1.35
4,4,Greater short-tailed shrew,Blarina,4,Soricomorpha,4,14.9,2.3,9.1,0.00029,0.019
5,5,Cow,Bos,2,Artiodactyla,2,4,0.7,20,0.423,600
6,6,Three-toed sloth,Bradypus,2,Pilosa,4,14.4,2.2,9.6,0.281581429,3.85
7,7,Northern fur seal,Callorhinus,1,Carnivora,6,8.7,1.4,15.3,0.281581429,20.49
8,8,Vesper mouse,Calomys,2,Rodentia,4,7,1.875409836,17,0.281581429,0.045
9,9,Dog,Canis,1,Carnivora,2,10.1,2.9,13.9,0.07,14
10,10,Roe deer,Capreolus,2,Artiodactyla,4,3,1.875409836,21,0.0982,14.8
11,11,Goat,Capri,2,Artiodactyla,4,5.3,0.6,18.7,0.115,33.5
12,12,Guinea pig,Cavis,2,Rodentia,2,9.4,0.8,14.6,0.0055,0.728
13,13,Grivet,Cercopithecus,4,Primates,4,10,0.7,14,0.281581429,4.75
14,14,Chinchilla,Chinchilla,2,Rodentia,2,12.5,1.5,11.5,0.0064,0.42
15,15,Star-nosed mole,Condylura,4,Soricomorpha,4,10.3,2.2,13.7,0.001,0.06
16,16,African giant pouched rat,Cricetomys,4,Rodentia,4,8.3,2,15.7,0.0066,1
17,17,Lesser short-tailed shrew,Cryptotis,4,Soricomorpha,4,9.1,1.4,14.9,0.00014,0.005
18,18,Long-nosed armadillo,Dasypus,1,Cingulata,4,17.4,3.1,6.6,0.0108,3.5
19,19,Tree hyrax,Dendrohyrax,2,Hyracoidea,4,5.3,0.5,18.7,0.0123,2.95
20,20,North American Opossum,Didelphis,4,Didelphimorphia,4,18,4.9,6,0.0063,1.7
21,21,Asian elephant,Elephas,2,Proboscidea,3,3.9,1.875409836,20.1,4.603,2547
22,22,Big brown bat,Eptesicus,3,Chiroptera,4,19.7,3.9,4.3,3.00E-04,0.023
23,23,Horse,Equus,2,Perissodactyla,2,2.9,0.6,21.1,0.655,521
24,24,Donkey,Equus,2,Perissodactyla,2,3.1,0.4,20.9,0.419,187
25,25,European hedgehog,Erinaceus,4,Erinaceomorpha,4,10.1,3.5,13.9,0.0035,0.77
26,26,Patas monkey,Erythrocebus,4,Primates,4,10.9,1.1,13.1,0.115,10
27,27,Western american chipmunk,Eutamias,2,Rodentia,4,14.9,1.875409836,9.1,0.281581429,0.071
28,28,Domestic cat,Felis,1,Carnivora,2,12.5,3.2,11.5,0.0256,3.3
29,29,Galago,Galago,4,Primates,4,9.8,1.1,14.2,0.005,0.2
30,30,Giraffe,Giraffa,2,Artiodactyla,1,1.9,0.4,22.1,0.281581429,899.995
31,31,Pilot whale,Globicephalus,1,Cetacea,1,2.7,0.1,21.35,0.281581429,800
32,32,Gray seal,Haliochoerus,1,Carnivora,4,6.2,1.5,17.8,0.325,85
33,33,Gray hyrax,Heterohyrax,2,Hyracoidea,4,6.3,0.6,17.7,0.01227,2.625
34,34,Human,Homo,4,Primates,4,8,1.9,16,1.32,62
35,35,Mongoose lemur,Lemur,2,Primates,6,9.5,0.9,14.5,0.281581429,1.67
36,36,African elephant,Loxodonta,2,Proboscidea,6,3.3,1.875409836,20.7,5.712,6654
